rank,mee,params
1,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': np.float64(0.976203155778491), 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
2,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': 0.9838483610904715, 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
3,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': 0.9838483610904715, 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
4,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': np.float64(0.976203155778491), 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
5,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': 0.9838483610904715, 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
6,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': 0.9838483610904715, 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
7,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': np.float64(0.976203155778491), 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
8,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': 0.9838483610904715, 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
9,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': np.float64(0.976203155778491), 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
10,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': np.float64(0.976203155778491), 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
11,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': np.float64(0.976203155778491), 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
12,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': 0.9838483610904715, 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
13,12.27176910497759,"{'hidden_layers': [128, 84, 65], 'learning_rate': np.float64(0.011984920164083283), 'l2_lambda': np.float64(0.0006003417127125739), 'dropout_rate': np.float64(0.13106988250978824), 'momentum': 0.9838483610904715, 'batch_size': 64, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
