iteration,avg_mee,std_mee,params
1,22.4433,0.4481,"{'learning_rate': 0.0004216302929956237, 'l2_lambda': 7.9350010059376e-05, 'batch_size': 128, 'hidden_layers': [512, 128], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8691520460803047}"
2,33.2700,4.4713,"{'learning_rate': 0.04103136287129113, 'l2_lambda': 1.9817724241368568e-05, 'batch_size': 16, 'hidden_layers': [512, 256], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9835443491002895}"
3,21.1721,0.9806,"{'learning_rate': 0.002412614885518771, 'l2_lambda': 4.780486244638453e-06, 'batch_size': 128, 'hidden_layers': [512, 256, 64], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.8736103948442955}"
39,21.9486,0.5977,"{'learning_rate': 0.0001159914880612809, 'l2_lambda': 3.7216168973959564e-05, 'batch_size': 16, 'hidden_layers': [512, 256, 64], 'hidden_activation': 'relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8993351309115775}"
4,20.8639,0.7481,"{'learning_rate': 0.00742790095710259, 'l2_lambda': 1.2699906158401473e-07, 'batch_size': 128, 'hidden_layers': [256, 128, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.8977474805711735}"
40,20.8320,0.7468,"{'learning_rate': 0.0046296075227888756, 'l2_lambda': 1.20341787828606e-06, 'batch_size': 16, 'hidden_layers': [128, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'adam', 'momentum': 0.8987143870982833}"
5,20.7780,0.7411,"{'learning_rate': 0.01581245510187682, 'l2_lambda': 0.004232446212193999, 'batch_size': 32, 'hidden_layers': [256, 128], 'hidden_activation': 'elu', 'weight_init': 'he', 'optimizer': 'adam', 'momentum': 0.9213465976256566}"
41,22.3980,0.5140,"{'learning_rate': 0.0750217178536165, 'l2_lambda': 0.0002981218158556649, 'batch_size': 16, 'hidden_layers': [512, 256], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.9353310258447333}"
6,22.2580,0.5606,"{'learning_rate': 0.00031483799759004057, 'l2_lambda': 0.0015286145191743725, 'batch_size': 128, 'hidden_layers': [128, 64], 'hidden_activation': 'leaky_relu', 'weight_init': 'he', 'optimizer': 'sgd', 'momentum': 0.8600442139542168}"
42,21.7687,0.7508,"{'learning_rate': 0.030016327923604744, 'l2_lambda': 0.005161245842557663, 'batch_size': 128, 'hidden_layers': [256, 64, 32], 'hidden_activation': 'tanh', 'weight_init': 'xavier', 'optimizer': 'sgd', 'momentum': 0.9222375809123061}"
