iteration,avg_mee,std_mee,params
26,18.7361,0.8414,"{'learning_rate': np.float64(0.00014039007486357072), 'l2_lambda': np.float64(0.006204154709645589), 'batch_size': 16, 'hidden_layers': [40], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.9433870565293059), 'use_batch_norm': False, 'dropout_rate': np.float64(0.08074503395325164), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
35,19.1719,0.5339,"{'learning_rate': np.float64(0.013970749867224942), 'l2_lambda': np.float64(0.008036307687210364), 'batch_size': 32, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.8854434296663336), 'use_batch_norm': False, 'dropout_rate': np.float64(0.12097821416529088), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
8,19.2490,0.9354,"{'learning_rate': np.float64(0.037630145638350584), 'l2_lambda': np.float64(0.0003423011573400899), 'batch_size': 16, 'hidden_layers': [64, 32], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.8160828396970283), 'use_batch_norm': False, 'dropout_rate': np.float64(0.23454154207671984), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
24,19.4271,1.1751,"{'learning_rate': np.float64(0.014099548596154523), 'l2_lambda': np.float64(1.4979273945635479e-05), 'batch_size': 16, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.9246433259955567), 'use_batch_norm': False, 'dropout_rate': np.float64(0.14956594436914603), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
11,20.5521,0.8843,"{'learning_rate': np.float64(0.0004787945995565618), 'l2_lambda': np.float64(0.009915823421880162), 'batch_size': 32, 'hidden_layers': [20], 'hidden_activation': 'tanh', 'optimizer': 'adam', 'momentum': np.float64(0.9143202133444447), 'use_batch_norm': False, 'dropout_rate': np.float64(0.011153338607805418), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
46,20.6870,1.4261,"{'learning_rate': np.float64(0.0003189303444441789), 'l2_lambda': np.float64(0.0027210755715038003), 'batch_size': 32, 'hidden_layers': [64, 32], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.9585152644772377), 'use_batch_norm': False, 'dropout_rate': np.float64(0.2992221454507429), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
2,20.7423,1.1458,"{'learning_rate': np.float64(0.00020109536571070595), 'l2_lambda': np.float64(0.00019632601025089803), 'batch_size': 16, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.9178695738684819), 'use_batch_norm': False, 'dropout_rate': np.float64(0.1695397321525629), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
13,20.7759,1.1584,"{'learning_rate': np.float64(0.0026198642113562307), 'l2_lambda': np.float64(1.2999198018449003e-05), 'batch_size': 16, 'hidden_layers': [64, 32], 'hidden_activation': 'elu', 'optimizer': 'sgd', 'momentum': np.float64(0.9022458191009208), 'use_batch_norm': False, 'dropout_rate': np.float64(0.04423003243303881), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
16,21.1771,0.1867,"{'learning_rate': np.float64(0.00900252643573417), 'l2_lambda': np.float64(0.00017870593078217584), 'batch_size': 32, 'hidden_layers': [30], 'hidden_activation': 'tanh', 'optimizer': 'sgd', 'momentum': np.float64(0.9427763867193444), 'use_batch_norm': False, 'dropout_rate': np.float64(0.011510060106991614), 'use_polynomial_features': False, 'poly_degree': 0, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'xavier'}"
33,21.5093,1.2459,"{'learning_rate': np.float64(0.007753959338437863), 'l2_lambda': np.float64(0.0002820225303801881), 'batch_size': 16, 'hidden_layers': [40], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.9072559253763323), 'use_batch_norm': False, 'dropout_rate': np.float64(0.13167684465959387), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
34,21.7292,0.7186,"{'learning_rate': np.float64(0.013550202415908524), 'l2_lambda': np.float64(1.8335429691371205e-05), 'batch_size': 16, 'hidden_layers': [30], 'hidden_activation': 'elu', 'optimizer': 'adam', 'momentum': np.float64(0.9016609604853271), 'use_batch_norm': False, 'dropout_rate': np.float64(0.10056898735200555), 'use_polynomial_features': True, 'poly_degree': 2, 'use_pca_features': False, 'pca_components': 0, 'weight_init': 'he'}"
