rank,mee,params
1,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8266337085955497, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
2,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8126200801043706, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
3,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8126200801043706, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
4,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8266337085955497, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
5,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8126200801043706, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
6,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8126200801043706, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
7,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8266337085955497, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
8,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8126200801043706, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
9,12.268799355356014,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.508710785364554e-05, 'dropout_rate': 0.15396734372273907, 'momentum': 0.8266337085955497, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
10,12.493117361305986,"{'hidden_layers': [102, 98, 64], 'learning_rate': 0.01485298745125763, 'l2_lambda': 6.390314426097689e-05, 'dropout_rate': 0.14633914091857833, 'momentum': 0.8126200801043706, 'batch_size': 16, 'hidden_activation': 'tanh', 'optimizer': 'adam', 'use_batch_norm': False, 'weight_init': 'he'}"
